set canciones := 1 2 3 4 5 6 7 8 9 10;

param: tiempos :=
1   120
2   254
3   601
4   302
5   185
6   455
7   322
8   615
9   547
10  624;

param: sat :=
1   4
2   7
3   5
4   3
5   9
6   8
7   4
8   7
9   6
10  10;

param: repMin :=
1   2
2   1
3   0
4   0
5   1
6   0
7   1
8   1
9   0
10  0;

param: repMax :=
1   3
2   3
3   3
4   3
5   3
6   3
7   3
8   3
9   3
10  3;

param: populares :=
1   0
2   1
3   1
4   0
5   0
6   0
7   1
8   0
9   1
10  1;

param: clasicas :=
1   1
2   0
3   0
4   0
5   0
6   1
7   0
8   1
9   0
10  0;

param: rock :=
1   0
2   0
3   1
4   1
5   1
6   0
7   0
8   0
9   1
10  0;

param: horasMin := 0;

param: horasMax := 3600;

param: rockMin := 1;

param: rockMax := 3;

param: clasMin := 1;

param: clasMax := 3;

param: popuMin := 1;

param: popuMax := 3;
